2020-08-02 22:39:21,136 [1] WARN  Zhaoxi.MicroService.GatewayDemo.Startup - This is Configure...........
2020-08-02 22:39:22,438 [1] INFO  Microsoft.Hosting.Lifetime - Now listening on: https://localhost:5001
2020-08-02 22:39:22,442 [1] INFO  Microsoft.Hosting.Lifetime - Now listening on: http://localhost:5000
2020-08-02 22:39:22,445 [1] INFO  Microsoft.Hosting.Lifetime - Application started. Press Ctrl+C to shut down.
2020-08-02 22:39:22,449 [1] INFO  Microsoft.Hosting.Lifetime - Hosting environment: Development
2020-08-02 22:39:22,452 [1] INFO  Microsoft.Hosting.Lifetime - Content root path: D:\Zhaoxi.Microservice.AdvancedDemo\Zhaoxi.MicroService.GatewayDemo
2020-08-02 22:39:24,384 [4] WARN  Ocelot.DownstreamRouteFinder.Middleware.DownstreamRouteFinderMiddleware - requestId: 0HM1MU7CEUPQ2:00000001, previousRequestId: no previous request id, message: DownstreamRouteFinderMiddleware setting pipeline errors. IDownstreamRouteFinder returned Error Code: UnableToFindDownstreamRouteError Message: Failed to match Route configuration for upstream path: /weatherforecast, verb: GET.
2020-08-02 22:39:24,428 [4] WARN  Ocelot.Responder.Middleware.ResponderMiddleware - requestId: 0HM1MU7CEUPQ2:00000001, previousRequestId: no previous request id, message: Error Code: UnableToFindDownstreamRouteError Message: Failed to match Route configuration for upstream path: /weatherforecast, verb: GET. errors found in ResponderMiddleware. Setting error response for request path:/weatherforecast, request method: GET
2020-08-02 22:39:29,873 [9] INFO  Ocelot.RateLimit.Middleware.ClientRateLimitMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: EndpointRateLimiting is not enabled for /api/users/all
2020-08-02 22:39:29,879 [9] INFO  Ocelot.Authentication.Middleware.AuthenticationMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: No authentication needed for /UserAggregator
2020-08-02 22:39:29,884 [9] INFO  Ocelot.Authorisation.Middleware.AuthorisationMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: /api/users/all route does not require user to be authorised
2020-08-02 22:39:30,156 [9] INFO  Ocelot.RateLimit.Middleware.ClientRateLimitMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: EndpointRateLimiting is not enabled for /api/users/all
2020-08-02 22:39:30,159 [9] INFO  Ocelot.Authentication.Middleware.AuthenticationMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: No authentication needed for /UserAggregator
2020-08-02 22:39:30,162 [9] INFO  Ocelot.Authorisation.Middleware.AuthorisationMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: /api/users/all route does not require user to be authorised
2020-08-02 22:39:30,214 [6] INFO  Ocelot.Requester.Middleware.HttpRequesterMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: 200 (OK) status code, request uri: http://localhost:5726/api/users/all
2020-08-02 22:39:30,221 [9] INFO  Ocelot.RateLimit.Middleware.ClientRateLimitMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: EndpointRateLimiting is not enabled for /api/users/all
2020-08-02 22:39:30,238 [9] INFO  Ocelot.Authentication.Middleware.AuthenticationMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: No authentication needed for /UserAggregator
2020-08-02 22:39:30,243 [9] INFO  Ocelot.Authorisation.Middleware.AuthorisationMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: /api/users/all route does not require user to be authorised
2020-08-02 22:39:30,393 [17] INFO  Ocelot.Requester.Middleware.HttpRequesterMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: 200 (OK) status code, request uri: http://localhost:5728/api/users/all
2020-08-02 22:39:30,395 [5] INFO  Ocelot.Requester.Middleware.HttpRequesterMiddleware - requestId: 0HM1MU7CEUPQ2:00000003, previousRequestId: no previous request id, message: 200 (OK) status code, request uri: http://localhost:5727/api/users/all
2020-08-02 22:40:36,186 [21] WARN  Ocelot.DownstreamRouteFinder.Middleware.DownstreamRouteFinderMiddleware - requestId: 0HM1MU7CEUPQ2:00000005, previousRequestId: no previous request id, message: DownstreamRouteFinderMiddleware setting pipeline errors. IDownstreamRouteFinder returned Error Code: UnableToFindDownstreamRouteError Message: Failed to match Route configuration for upstream path: /favicon.ico, verb: GET.
2020-08-02 22:40:36,193 [21] WARN  Ocelot.Responder.Middleware.ResponderMiddleware - requestId: 0HM1MU7CEUPQ2:00000005, previousRequestId: no previous request id, message: Error Code: UnableToFindDownstreamRouteError Message: Failed to match Route configuration for upstream path: /favicon.ico, verb: GET. errors found in ResponderMiddleware. Setting error response for request path:/favicon.ico, request method: GET
